品类,方法,回测WAPE,回测MAE,路径变化误差,方向命中率,预测波动比中位数,回测次数,是否动态,距最优WAPE,是否入选,综合路径评分
水生根茎类,指数加权移动平均+近周形状rho=0.60,0.19393883288339067,1.2426285573688456,0.1766350622039569,0.3571428571428571,0.6938540796457302,8,是,0.059735171508119134,否,0.28225636398536913
花叶类,指数加权移动平均+近周形状rho=0.30,0.07122009711678026,0.19708025583332028,0.07068145259685137,0.5535714285714285,0.3572292137569542,8,是,0.0,是,0.10656082341520595
花叶类,指数加权移动平均+近周形状rho=0.15,0.07182397494422252,0.19875130658363369,0.07048565886260989,0.5714285714285714,0.17201154181893766,8,是,0.0006038778274422563,否,0.10706680437552746
花叶类,指数加权移动平均+近周形状rho=0.45,0.07368880293418961,0.20391165867842548,0.07702412048738096,0.5535714285714285,0.5427713334305126,8,是,0.00246870581740935,否,0.11220086317788008
花叶类,指数加权移动平均,0.07441638637200042,0.20592502759912096,0.07196179875653891,0.08928571428571427,2.3304355465484295e-15,8,否,0.0031962892552201555,否,0.11039728575026987
花叶类,近7日均值,0.0775322206177278,0.2145471642591606,0.07025865144208367,0.10714285714285714,0.0,8,否,0.006312123500947536,否,0.11266154633876962
花叶类,近7日均值+近周形状rho=0.15,0.07758223315954886,0.21468555896705893,0.07136214003688121,0.5535714285714285,0.20129391516454861,8,是,0.0063621360427685986,否,0.11326330317798947
花叶类,指数加权移动平均+近周形状rho=0.60,0.0782049378063696,0.21640870729277378,0.08680337590578308,0.5535714285714285,0.728386767949034,8,是,0.006984840689589336,否,0.12160662575926114
花叶类,近7日均值+近周形状rho=0.30,0.07985082204223848,0.22096319822172034,0.075757344822255,0.5535714285714285,0.4025878303290972,8,是,0.008630724925458216,否,0.11772949445336597
花叶类,近21日阻尼趋势,0.08125859172715993,0.2248587785549483,0.07179740047653639,0.4821428571428571,0.08592052215463775,8,是,0.010038494610379672,否,0.11715729196542812
花叶类,近7日均值+近周形状rho=0.45,0.08366518405611478,0.23151830095210574,0.08423645211823776,0.5535714285714285,0.6038817454936463,8,是,0.012445086939334521,否,0.12578341011523367
花叶类,近7日均值+近周形状rho=0.60,0.08824591505882044,0.24419409998164893,0.0940513894549656,0.5535714285714285,0.8051756606581948,8,是,0.01702581794204018,否,0.13527160978630326
花叶类,近14日均值,0.11566508655463344,0.320068432535168,0.08002779243244701,0.08928571428571427,1.199990727468478e-15,8,否,0.044444989437853175,否,0.15567898277085696
花叶类,近14日均值+近周形状rho=0.15,0.1169636397581301,0.32366178901625586,0.0816453497666792,0.5535714285714285,0.19603221571219223,8,是,0.04574354264134983,否,0.1577863146414697
花叶类,近14日均值+近周形状rho=0.30,0.11897617906902247,0.32923088788472443,0.08611359573975658,0.5535714285714285,0.39206443142438435,8,是,0.04775608195224221,否,0.16203297693890076
花叶类,近14日均值+近周形状rho=0.45,0.12102355383790765,0.334896383434063,0.09633799494854088,0.5535714285714285,0.5880966471365769,8,是,0.04980345672112739,否,0.16919255131217809
花叶类,近14日均值+近周形状rho=0.60,0.12387705704950203,0.34279259764506165,0.10748827009077537,0.5535714285714285,0.784128862848769,8,是,0.052656959932721764,否,0.17762119209488972
花菜类,指数加权移动平均,0.06168411861380122,0.3952263434639366,0.046490415510669354,0.07142857142857142,2.181704619707919e-15,8,否,0.0,是,0.0849293263691359
花菜类,指数加权移动平均+近周形状rho=0.15,0.06235359013174206,0.3995158232528204,0.04952355722433864,0.375,0.1918240610212473,8,是,0.0006694715179408409,否,0.08711536874391138
