口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1036,7,2023-06-16,否,通过,0.251008281764724,8.153,9.825410863819238,1.0361988686765087,2.1565135269837024,4.0765,1.6698269712957903,1.0,38.26340498279493,1.0,49.75436435299539
正常销售,茄类,近7日均值,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1036,7,2023-06-16,否,通过,0.43821020784655856,14.233505761064068,18.79618605595944,1.8089957766362266,2.4621717717246696,7.116752880532034,4.456822211036013,0.7142857142857143,28.48421350397586,0.7142857142857143,38.60963507880024
正常销售,茄类,近14日均值,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1036,7,2023-06-16,否,通过,0.43821020784655856,14.233505761064068,18.79618605595944,1.8089957766362266,2.4621717717246696,7.116752880532034,4.456822211036013,0.7142857142857143,28.48421350397586,0.7142857142857143,38.60963507880023
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1036,7,2023-06-16,否,通过,0.2264333426181305,7.354781401579496,8.078570661068474,0.9347499285759475,1.483047704794538,3.677390700789748,2.2246893690989307,1.0,37.07737073893469,1.0,49.623645456812085
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1036,7,2023-06-16,否,通过,0.284226544328929,9.231962386347943,12.858611554855289,1.173328710952756,1.8865379596429899,4.615981193173972,1.741468861615713,0.7142857142857143,24.62631808823796,1.0,33.83349622616908
正常销售,辣椒类,同星期最近4次均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.17989100711949366,13.43631630890801,20.555706207780297,0.5810792017208389,3.1962372918636452,6.718158154454005,5.187052321330347,0.7142857142857143,67.5270677704851,0.8571428571428571,99.26973727675913
正常销售,辣椒类,同星期最近8次中位数,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.35320652589702395,26.3815,28.308035947034043,1.1409184338742457,4.626776838114174,13.19075,7.467597143038986,0.5714285714285714,84.42629318692921,0.7142857142857143,124.37796649747668
正常销售,辣椒类,近7日均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.2953089305369193,22.05704589170327,26.566224083152576,0.9538991435155114,4.311928330703679,11.028522945851636,4.086005229991894,0.7142857142857143,62.38821691710329,0.8571428571428571,86.97035070770298
正常销售,辣椒类,近14日均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.2953089305369193,22.05704589170327,26.566224083152576,0.9538991435155114,4.311928330703679,11.028522945851636,4.086005229991894,0.7142857142857143,62.38821691710329,0.8571428571428571,86.97035070770299
正常销售,辣椒类,星期加月份对数回归,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.3152141091079781,23.54379211514504,29.07551444672618,1.0181963280128914,3.7635762840401212,11.77189605757252,7.259202795994125,0.42857142857142855,32.940583922283494,0.5714285714285714,43.22111508442532
正常销售,辣椒类,星期加月份及趋势对数回归,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.44665869932798796,33.36157633666361,39.52634452289187,1.442785187559553,4.13710146234372,16.680788168331805,17.409385770989726,0.14285714285714285,24.78844596095238,0.2857142857142857,33.9696298700157
正常销售,辣椒类,同星期最近4次均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.08725869408719307,4.685467768761373,7.463723132725232,0.2164372562108004,1.4409882602703836,2.3427338843806864,3.2235968484985347,1.0,46.64585108768919,1.0,69.68643859406554
正常销售,辣椒类,同星期最近8次中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.23332153860070123,12.528499999999998,15.911647724903558,0.578732860466106,1.869345739201197,6.264249999999999,4.526743928278921,0.8571428571428571,51.739144407502636,0.8571428571428571,80.02333679833906
正常销售,辣椒类,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.26155041317037053,14.044285714285694,15.428363416587159,0.6487520169718505,1.7485188858061718,7.022142857142847,5.007376562620512,0.8571428571428571,60.78261067168017,1.0,83.83697356659341
正常销售,辣椒类,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.26155041317037053,14.044285714285694,15.428363416587159,0.6487520169718505,1.7485188858061715,7.022142857142847,5.007376562620512,0.8571428571428571,60.782610671680175,1.0,83.83697356659339
正常销售,辣椒类,星期加月份对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.2661313151952944,14.290263138245157,16.517570268888377,0.6601145279011831,2.656278039734867,7.1451315691225785,3.944766653647615,0.7142857142857143,41.299417576380186,0.7142857142857143,53.58059752175101
正常销售,辣椒类,星期加月份及趋势对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.7354595832859083,39.491447915429646,40.40018040401836,1.824240620668463,4.279229534722796,19.745723957714823,31.233432677960362,0.0,8.088481260605326,0.0,11.378095279699554
正常销售,辣椒类,同星期最近4次均值,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,否,通过,0.4475555299682403,30.26319344441816,32.5332736868954,1.463365556057139,3.940975466630696,15.13159672220908,10.99370394291879,0.42857142857142855,35.90694672161802,0.5714285714285714,51.86259456961624
